State,Year,Degree,Count
Alaska,2000,Professional,11
Alaska,2000,Graduate,0
Alaska,1999,Undergraduate,5
Alaska,1999,Professional,14
Alaska,1999,Graduate,0
Alaska,1998,Undergraduate,5
Alaska,1998,Professional,7
Alaska,1998,Graduate,0
Alaska,1997,Undergraduate,6
Alaska,1997,Professional,0
Alaska,1997,Graduate,8
Alaska,1996,Undergraduate,5
Alaska,1996,Professional,0
Alaska,1996,Graduate,10
Alaska,1995,Undergraduate,6
Alaska,1995,Professional,0
Alaska,1995,Graduate,15
Alaska,1994,Undergraduate,3
Alaska,1994,Professional,0
Alaska,1994,Graduate,7
Alaska,1993,Undergraduate,1
Alaska,1993,Professional,0
Alaska,1993,Graduate,4
Alaska,1992,Undergraduate,2
Alaska,1992,Professional,0
Alaska,1992,Graduate,3
Alaska,1991,Undergraduate,3
Alaska,1991,Professional,0
Alaska,1991,Graduate,3
Alaska,1990,Undergraduate,5
Alaska,1990,Professional,0
Alaska,1990,Graduate,3
Alaska,1989,Undergraduate,5
Alaska,1989,Professional,0
Alaska,1989,Graduate,3
Alaska,1988,Undergraduate,2
Alaska,1988,Professional,0
Alaska,1988,Graduate,4
Alaska,1987,Undergraduate,0
Alaska,1987,Professional,0
Alaska,1987,Graduate,0
Alaska,1986,Undergraduate,0
Alaska,1986,Professional,0
Alaska,1986,Graduate,0
Alaska,1985,Undergraduate,0
Alaska,1985,Professional,0
Alaska,1985,Graduate,NA
Alaska,1984,Undergraduate,0
Alaska,1984,Professional,0
Alaska,1984,Graduate,0
Alaska,1983,Undergraduate,0
Alaska,1983,Professional,0
Alaska,1983,Graduate,3
Alaska,1982,Undergraduate,1
Alaska,1982,Professional,0
Alaska,1982,Graduate,3
Alaska,1981,Undergraduate,0
Alaska,1981,Professional,0
Alaska,1981,Graduate,2
Alaska,1980,Undergraduate,0
Alaska,1980,Professional,0
Alaska,1980,Graduate,2
Alaska,1979,Undergraduate,0
Alaska,1979,Professional,0
Alaska,1979,Graduate,1
Alaska,1978,Undergraduate,0
Alaska,1978,Professional,0
Alaska,1978,Graduate,2
Alaska,1977,Undergraduate,1
Alaska,1977,Professional,0
Alaska,1977,Graduate,1
Alaska,1976,Undergraduate,1
Alaska,1976,Professional,0
Alaska,1976,Graduate,2
Alaska,1975,Undergraduate,0
Alaska,1975,Professional,0
Alaska,1975,Graduate,2
Arizona,2017,Undergraduate,39
Arizona,2017,Professional,59
Arizona,2017,Graduate,7
Arizona,2016,Undergraduate,34
Arizona,2016,Professional,31
Arizona,2016,Graduate,5
Arizona,2015,Undergraduate,37
Arizona,2015,Professional,26
Arizona,2015,Graduate,3
Arizona,2014,Undergraduate,28
Arizona,2014,Professional,21
Arizona,2014,Graduate,3
Arizona,2013,Undergraduate,18
Arizona,2013,Professional,22
Arizona,2013,Graduate,3
Arizona,2012,Undergraduate,22
Arizona,2012,Professional,17
Arizona,2012,Graduate,3
Arizona,2011,Undergraduate,15
Arizona,2011,Professional,17
Arizona,2011,Graduate,2
Arizona,2010,Undergraduate,20
Arizona,2010,Professional,16
Arizona,2010,Graduate,4
Arizona,2009,Undergraduate,20
Arizona,2009,Professional,16
Arizona,2009,Graduate,4
Arizona,2008,Undergraduate,19
Arizona,2008,Professional,7
Arizona,2008,Graduate,6
Arizona,2007,Undergraduate,17
Arizona,2007,Professional,8
Arizona,2007,Graduate,4
Arizona,2006,Undergraduate,25
Arizona,2006,Professional,9
Arizona,2006,Graduate,6
Arizona,2005,Undergraduate,26
Arizona,2005,Professional,13
Arizona,2005,Graduate,4
Arizona,2004,Undergraduate,22
Arizona,2004,Professional,16
Arizona,2004,Graduate,2
Arizona,2003,Undergraduate,24
Arizona,2003,Professional,35
Arizona,2003,Graduate,1
Arizona,2002,Undergraduate,22
Arizona,2002,Professional,27
Arizona,2002,Graduate,3
Arizona,2001,Undergraduate,21
Arizona,2001,Professional,26
Arizona,2001,Graduate,3
Arizona,2000,Undergraduate,14
Arizona,2000,Professional,26
Arizona,2000,Graduate,1
Arizona,1999,Undergraduate,12
Arizona,1999,Professional,23
Arizona,1999,Graduate,4
Arizona,1998,Undergraduate,11
Arizona,1998,Professional,20
Arizona,1998,Graduate,4
Arizona,1997,Undergraduate,10
Arizona,1997,Professional,4
Arizona,1997,Graduate,18
Arizona,1996,Undergraduate,14
Arizona,1996,Professional,3
Arizona,1996,Graduate,18
Arizona,1995,Undergraduate,17
Arizona,1995,Professional,1
Arizona,1995,Graduate,24
Arizona,1994,Undergraduate,17
Arizona,1994,Professional,1
Arizona,1994,Graduate,14
Arizona,1993,Undergraduate,13
Arizona,1993,Professional,1
Arizona,1993,Graduate,15
Arizona,1992,Undergraduate,10
Arizona,1992,Professional,0
Arizona,1992,Graduate,19
Arizona,1991,Undergraduate,8
Arizona,1991,Professional,0
Arizona,1991,Graduate,14
Arizona,1990,Undergraduate,11
Arizona,1990,Professional,0
Arizona,1990,Graduate,10
Arizona,1989,Undergraduate,9
Arizona,1989,Professional,1
Arizona,1989,Graduate,11
Arizona,1988,Undergraduate,13
Arizona,1988,Professional,0
Arizona,1988,Graduate,9
Arizona,1987,Undergraduate,12
Arizona,1987,Professional,0
Arizona,1987,Graduate,9
Arizona,1986,Undergraduate,6
Arizona,1986,Professional,0
Arizona,1986,Graduate,14
Arizona,1985,Undergraduate,4
Arizona,1985,Professional,0
Arizona,1985,Graduate,11
